"Rank","Root Domain","Linking Root Domains","Domain Authority"
"379","zoom.us","651,400","93"
"380","theverge.com","412,990","93"
"381","about.com","750,212","93"
"382","cambridge.org","350,874","93"
"383","nypost.com","427,584","93"
"384","biglobe.ne.jp","241,859","93"
"385","techcrunch.com","517,879","93"
"386","nationalgeographic.com","641,778","93"
"387","weibo.com","1,403,910","93"
"388","ea.com","208,796","93"
"389","quora.com","444,821","93"
"390","mashable.com","442,132","93"
"391","gizmodo.com","409,761","93"
"392","cpanel.com","1,063,035","93"
"393","ftc.gov","294,727","93"
"394","airbnb.com","224,064","92"
"395","uber.com","149,811","92"
"396","foursquare.com","283,566","92"
"397","hm.com","192,496","92"
"398","kakao.com","140,877","92"
"399","variety.com","307,865","92"
"400","nifty.com","219,664","92"
"401","trustpilot.com","447,925","92"
"402","thedailybeast.com","279,846","92"
"403","last.fm","438,830","92"
"404","icloud.com","176,855","92"
"405","telegram.org","158,151","92"
"406","reg.ru","408,852","92"
"407","cisco.com","250,745","92"
"408","ebay.de","131,561","92"
"409","prnewswire.com","455,589","92"
"410","euronews.com","195,997","92"
"411","weather.com","232,451","92"
"412","cutt.ly","159,909","92"
"413","orange.fr","180,039","92"
"414","sakura.ne.jp","396,319","92"
"415","liberation.fr","128,029","92"
"416","yandex.net","154,009","92"
"417","hollywoodreporter.com","298,357","92"
"418","allaboutcookies.org","411,102","92"
"419","vox.com","471,662","92"
"420","rottentomatoes.com","255,893","92"
"421","bp1.blogger.com","556,454","92"
"422","investopedia.com","357,388","92"
"423","focus.de","161,022","92"
"424","ieee.org","247,785","92"
"425","blackberry.com","146,467","92"
"426","mozilla.com","210,008","92"
"427","telegra.ph","282,463","92"
"428","interia.pl","162,919","92"
"429","apnews.com","294,808","92"
"430","tinypic.com","646,450","92"
"431","rbc.ru","131,418","92"
"432","m.me","240,791","92"
"433","amazon.in","206,889","92"
"434","zeit.de","188,993","92"
"435","ox.ac.uk","280,983","92"
"436","itmedia.co.jp","122,761","92"
"437","usgs.gov","241,406","92"
"438","fedoraproject.org","226,008","92"
"439","ibb.co","160,585","92"
"440","biblegateway.com","286,204","92"
"441","noaa.gov","339,258","92"
"442","yandex.com","1,533,014","92"
"443","calameo.com","177,731","92"
"444","amazon.ca","238,424","92"
"445","stores.jp","433,362","92"
"446","slate.com","396,316","92"
"447","softonic.com","158,142","92"
"448","state.gov","339,878","92"
"449","wiktionary.org","318,149","92"
"450","scholastic.com","196,588","92"
"451","repubblica.it","206,560","92"
"452","naver.jp","146,602","92"
"453","fifa.com","182,453","92"
"454","sina.com.cn","1,008,112","92"
"455","narod.ru","273,652","92"
"456","stuff.co.nz","191,881","92"
"457","sagepub.com","353,987","92"
"458","entrepreneur.com","302,173","92"
"459","storage.canalblog.com","314,439","92"
"460","dribbble.com","636,803","92"
"461","utexas.edu","282,602","92"
"462","google.co.id","191,922","92"
"463","excite.co.jp","498,353","92"
"464","people.com","259,675","92"
"465","lonelyplanet.com","190,171","92"
"466","gettyimages.com","392,069","92"
"467","upenn.edu","323,065","92"
"468","ap.org","195,392","92"
"469","java.com","151,107","92"
"470","e-recht24.de","473,445","92"
"471","imgur.com","1,448,022","92"
"472","howstuffworks.com","315,879","92"
"473","nicovideo.jp","164,037","92"
"474","box.com","283,578","92"
"475","corriere.it","182,577","92"
"476","elsevier.com","310,971","92"
"477","digitaltrends.com","245,444","92"
"478","evernote.com","330,377","92"
"479","python.org","201,104","92"
"480","arstechnica.com","255,102","92"
"481","bitly.com","393,271","92"
"482","loc.gov","473,340","92"
"483","soratemplates.com","299,802","92"
"484","lenta.ru","127,929","92"
"485","over-blog-kiwi.com","215,061","92"
"486","venturebeat.com","245,508","92"
"487","gsmarena.com","124,951","92"
"488","theconversation.com","340,165","92"
"489","usda.gov","413,067","92"
"490","nps.gov","372,366","92"
"491","kotaku.com","146,469","92"
"492","mailchimp.com","389,309","92"
"493","garanteprivacy.it","121,673","92"
"494","com.com","249,359","92"
"495","marketwatch.com","384,396","92"
"496","wn.com","220,831","92"
"497","feedproxy.google.com","750,257","92"
"498","sports.yahoo.com","225,468","92"
"499","pinterest.co.uk","232,149","92"
"500","espn.go.com","255,783","92"
